corr,filtro,psu,region,p1_1,p1_2,p1_3,p2,p3,p4,p5,p6,p7,p7a,p7t,p8,p8a,p8t,p9,p9a,p9t,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p11_13,p11_14,p11_15,p11_16,p11_17,p11_18,p11_19,p11_20,p11_21,p11_22,p11_23,p11_24,p11_25,p12,p13_a,p13_b,p13_c,p13_d,p13_e,p13_f,p14,p15,p16,p17_a,p17_b,p17_c,p17_d,p17_e,p17_f,p17_g,p17_h,p17_i,p17_j,p17_k,p17_l,p17_m,p17_n,p18_a,p18_b,p18_c,p18_d,p18_e,p19,p20,p21,p22,p23,p24,p25,p26,p27_a,p27_b,p28_a,p28_b,te1,te2_a,te2_b,te2_c,te2_d,te2_e,te2_1,te3_a,te3_b,te3_c,te3_d,te3_e,te3_f,te3_g,te3_h,te3_i,te3_j,te4_a,te4_b,te4_c,te4_d,te5,te6,te7_a,te7_b,te7_c,te7_d,te7_e,te7_f,te7_g,te7_h,te7_i,te7_j,te8,te9_1,te9_2,te9_3,te10_1,te10_2,te10_3,te11_1,te11_2,te11_3,te12,te13,te14,te15,te16,te17,te18,te19_1,te19_2,te19_3,te20_a,te20_b,te21,te22,te23,te24,de1,de2,de2_a,de3,de4,de5,de5_c,de6,de7,de8,de9,de10,de11,de12,de13_a,de13_b,de13_c,de13_d,de13_e,de13_f,de13_g,de13_h,de13_i,de13_j,de13_k,de13_l,de13_m,de13_n,de13_o,de13_p,de14_a,de14_b,de14_c,de14_d,de14_e,de14_f,de15,de16,de17,b5,pond
133,1162,195,13,3,6,7,1,2,3,8,3,9,9,9,5,5,5,7,7,7,1,8,3,8,8,8,8,8,8,8,3,8,8,2,4,8,2,8,6,8,8,8,8,8,8,8,88,2,1,1,1,1,1,22,13,8,4,1,4,4,4,4,4,2,4,4,4,4,8,4,1,1,1,1,1,4,8,1,1,,,9,8,8,,8,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,8,1,2,2,1,1,2,3,2,4,2,4,2,3,2,2,3,1,7,10,11,,,,1,4,8,1,4,,1,2,2,2,,,,1,1,2,1,1,1,2,40,1962-09-05T00:00:00Z,2,2,4,2,9,1,2,2,9,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,6,3,4,1,0.78246146440506
134,1165,195,13,13,6,1,2,1,3,2,3,9,9,9,5,5,5,7,7,7,1,4,2,4,8,8,8,8,4,4,2,8,2,2,4,4,2,2,8,4,4,8,4,2,8,2,9,2,2,2,1,1,1,48,25,8,2,3,3,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,2,8,2,2,2,2,3,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,3,1,3,2,2,4,2,4,3,3,3,3,2,,,,4,3,2,1,4,3,3,,,,,,,,,,,,1,1,2,2,1,24,1978-10-28T00:00:00Z,3,12,7,4,1,6,1,6,9,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,8,5,4,1,1.25462162494659
135,6,2,1,6,5,3,2,3,3,8,3,9,9,9,5,5,5,6,6,6,3,5,5,5,2,2,3,4,4,4,3,5,5,3,5,5,5,3,3,4,5,6,4,4,4,2,2,3,3,1,3,1,1,22,13,4,4,1,3,3,3,3,3,3,2,3,2,4,4,2,2,2,2,4,3,4,1,2,2,2,6,1,2,2,,8,,2,2,1,1,2,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,4,4,4,2,4,2,4,2,2,,,,3,2,9,11,5,3,1,4,,1,3,2,2,,,,1,1,2,1,2,2,2,38,1965-02-15T00:00:00Z,3,10,12,2,2,5,2,1,9,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,6,4,4,1,0.78246146440506
136,7,2,1,5,10,7,2,2,2,1,8,9,9,9,2,,2,8,8,8,3,4,6,4,4,6,6,6,6,4,4,6,4,4,4,4,4,6,6,3,3,6,6,6,4,4,8,2,2,1,1,1,1,39,13,4,2,4,2,4,2,2,2,2,2,3,2,3,2,2,4,3,5,1,5,4,6,4,4,4,4,1,2,1,8,1,8,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,8,2,4,1,4,4,2,2,3,2,4,2,2,2,2,,,,2,3,5,99,99,99,1,4,,1,3,2,2,,,,1,1,1,1,1,2,2,27,1975-10-06T00:00:00Z,1,12,7,4,3,1,1,4,9,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,7,3,1,1.02533006668091
137,8,2,1,6,13,14,3,2,2,8,3,9,9,9,1,,1,3,,3,3,4,4,5,6,6,6,3,6,6,2,6,2,3,5,2,2,6,3,4,3,6,3,6,6,4,2,2,1,1,2,1,2,22,13,2,3,3,3,4,3,3,3,3,3,3,3,4,2,3,4,5,4,4,5,3,6,6,5,5,5,3,2,1,2,1,2,2,8,2,1,1,8,3,1,1,1,1,1,2,2,8,1,1,1,8,1,1,5,2,3,3,4,3,4,2,3,2,4,2,1,3,11,6,,,,4,9,10,1,5,,1,2,3,2,,,,8,8,2,1,2,2,2,41,1962-05-09T00:00:00Z,1,11,5,3,1,1,9,8,9,1,3,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,3,5,1,0.78246146440506
138,9,2,1,99,99,99,2,1,3,1,1,9,9,9,9,8,8,7,7,7,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,1,1,1,48,25,8,4,4,2,3,4,3,2,3,3,4,4,4,2,4,4,2,2,4,5,4,1,5,2,2,2,3,1,1,8,9,,2,1,1,8,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,2,3,2,3,2,8,4,4,2,2,,,,1,2,4,3,1,4,2,,,,,,,,,,,,2,1,2,2,1,53,1949-11-06T00:00:00Z,5,6,4,6,1,4,9,8,99,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,5,6,4,1,1.3042163848877
139,10,2,1,6,10,11,3,2,3,1,2,2,,2,1,,1,6,9,9,3,4,4,3,4,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,2,1,1,48,25,5,2,2,3,3,4,3,4,4,4,4,4,4,3,3,5,5,4,4,4,3,4,5,5,5,4,3,1,2,,2,,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,5,2,4,4,4,4,3,4,4,3,3,3,1,88,99,99,,,,88,88,88,3,,,,,,,,,,,,2,1,1,1,1,18,1984-11-29T00:00:00Z,3,12,5,4,7,1,1,6,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,1.25462162494659
140,11,3,1,6,7,5,4,2,1,1,1,1,,1,2,,2,4,,4,3,4,3,5,1,3,1,1,1,1,5,3,4,5,5,3,4,3,3,1,4,6,6,6,3,4,1,2,2,2,1,1,1,30,17,1,2,2,2,4,2,2,2,2,2,2,3,1,2,2,5,7,7,7,7,3,3,5,5,4,3,3,1,2,,1,1,3,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,4,2,5,5,2,2,5,2,5,2,1,5,8,6,,,,2,1,5,1,5,,1,7,1,1,2,,,1,1,1,1,1,1,1,29,1973-07-09T00:00:00Z,3,10,5,2,3,4,1,7,9,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,8,4,1,1.20403659343719
141,12,3,1,14,5,13,3,2,1,1,1,9,9,9,5,5,5,6,6,6,3,4,2,4,2,6,2,2,2,2,2,6,2,4,4,6,2,6,6,4,4,6,4,6,6,6,9,1,1,1,1,1,1,22,13,8,3,3,8,4,3,3,8,3,3,3,3,3,8,1,5,4,4,3,5,3,8,4,4,4,4,8,8,8,,8,,2,8,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,5,1,4,5,4,2,2,4,4,4,2,2,2,,,,4,10,3,1,3,4,1,4,,1,4,1,2,,,,1,1,1,1,1,2,2,27,1976-04-14T00:00:00Z,2,12,5,4,1,7,1,7,9,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,88,3,3,1,1.02533006668091
142,13,3,1,6,11,15,3,1,1,1,1,1,,1,2,,2,5,,5,2,4,4,4,3,6,6,6,2,6,4,4,4,4,4,6,3,6,6,4,4,6,6,6,3,4,1,1,2,2,2,1,1,39,13,1,3,4,3,4,3,3,3,3,3,3,3,4,2,2,6,5,5,4,5,2,2,5,5,5,5,1,2,2,,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,8,1,2,1,5,1,3,4,2,4,2,4,2,4,2,4,1,1,9,10,,,,3,10,6,1,5,,1,3,2,2,,,,2,2,2,1,1,2,2,31,1971-11-21T00:00:00Z,6,13,12,5,1,4,1,4,9,1,5,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,7,7,3,1,1.02533006668091
143,14,3,1,3,2,6,3,1,1,1,1,1,,1,2,,2,3,,3,1,4,6,4,3,6,6,6,6,6,4,6,3,4,4,2,2,6,6,6,6,6,6,6,6,3,1,1,1,2,2,3,1,22,13,4,3,4,4,4,4,3,4,3,1,4,3,3,4,2,5,5,5,4,4,2,1,5,4,5,3,3,2,1,9,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,4,2,4,2,3,3,2,3,4,2,1,2,3,4,,,,1,2,10,3,,,,,,,,,,,,2,1,1,2,2,57,1946-05-15T00:00:00Z,1,2,4,2,1,3,1,5,9,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,4,3,3,1,0.746192216873169
144,15,3,1,10,6,14,3,2,2,1,1,7,,7,2,,2,2,,2,3,3,4,3,3,6,3,6,1,3,2,3,4,4,4,1,1,4,3,4,4,6,6,6,6,3,7,2,2,2,2,2,1,22,13,1,4,4,2,3,4,4,2,3,3,4,2,2,2,2,4,3,3,5,5,3,6,4,4,6,5,3,2,2,,2,,2,2,1,8,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,5,1,2,2,8,5,4,4,4,2,4,8,1,10,9,8,,,,7,1,3,1,5,,1,3,2,1,2,,,1,1,1,1,1,2,1,37,1966-01-08T00:00:00Z,1,11,5,3,1,4,3,2,99,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,5,5,3,1,1.03771758079529
145,496,82,8,5,15,2,3,1,2,1,2,9,5,5,2,,2,4,,4,3,4,4,4,2,2,2,2,2,4,2,2,2,4,2,2,2,4,2,4,4,2,2,4,4,4,5,2,2,3,3,1,1,30,17,4,2,2,2,1,4,3,2,3,3,3,4,3,2,1,5,4,4,5,4,3,1,7,5,5,7,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,3,2,4,2,4,3,2,4,3,2,3,4,2,,,,3,4,10,3,4,6,1,1,50000,2,,2,1,3,,,1,1,2,1,2,2,1,41,1962-06-17T00:00:00Z,1,17,15,5,1,12,11,5,9,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,12,4,3,1,1.03771758079529
146,497,82,8,9,4,6,2,2,3,2,2,3,,3,3,,3,5,,5,3,3,3,6,6,3,6,3,6,3,3,6,6,3,2,3,5,6,6,3,3,6,3,6,3,3,3,2,1,2,2,2,2,16,25,5,1,4,3,3,4,4,1,4,3,1,3,3,1,4,3,2,5,2,5,3,2,3,3,3,3,3,2,2,,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,7,1,1,2,2,4,2,4,3,3,3,3,2,,,,9,1,3,1,2,4,1,1,9500,1,4,1,2,,,,1,1,2,1,2,2,2,38,1964-09-03T00:00:00Z,1,12,5,4,9,2,1,4,9,1,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,7,2,4,1,0.78246146440506
147,498,82,8,5,6,7,2,2,2,1,1,5,,5,3,,3,5,,5,3,4,4,4,6,3,2,4,3,4,4,6,4,4,3,3,4,4,3,2,4,6,4,6,4,4,5,2,2,1,2,1,1,48,25,1,1,3,3,3,1,1,3,3,1,3,3,3,3,1,4,3,4,3,4,4,6,6,6,5,3,2,2,1,2,1,1,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,2,2,1,5,1,2,4,2,4,2,2,2,3,2,4,2,,,,2,3,4,1,4,5,2,,,,,,,,,,,,2,1,1,2,1,52,1950-07-16T00:00:00Z,6,18,15,6,1,99,1,7,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,3,3,1,1.3042163848877
148,499,82,8,5,8,11,3,2,2,2,2,9,9,9,5,5,5,6,6,6,3,4,3,4,3,4,4,2,4,4,3,3,3,3,4,4,2,3,4,4,4,3,4,6,3,3,88,2,2,2,2,1,1,22,13,4,2,2,2,2,3,3,3,1,3,3,3,3,2,3,4,1,4,1,4,2,1,3,3,3,6,1,2,1,1,2,,1,1,2,1,1,1,4,1,1,1,1,8,1,1,1,1,1,2,1,1,1,4,8,3,3,3,3,3,3,3,4,8,8,2,,,,1,4,9,1,4,3,3,,,,,,,,,,,,2,1,2,2,2,79,1923-11-16T00:00:00Z,3,9,6,3,9,5,1,5,9,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6,2,4,1,0.746192216873169
149,516,278,8,10,11,7,1,2,3,2,2,9,5,5,2,,2,4,,4,3,2,2,3,3,2,3,3,4,4,4,2,4,3,4,3,2,3,2,4,4,6,6,6,4,4,2,1,2,2,2,2,1,22,25,4,2,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,1,3,6,1,1,1,2,1,2,1,2,2,,2,1,1,1,1,1,5,1,1,1,1,8,8,8,8,1,8,1,1,1,1,4,2,4,4,4,2,4,2,4,2,4,2,2,,,,3,5,7,5,6,10,1,2,47000,1,6,1,1,2,,,1,1,2,1,2,2,2,43,1959-10-03T00:00:00Z,3,12,5,4,1,8,1,2,9,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,8,2,4,2,0.929679155349731
150,517,278,8,7,10,1,2,3,3,2,2,7,,7,2,,2,2,,2,1,4,4,6,6,6,6,6,6,6,4,6,4,4,4,4,2,6,6,2,3,6,6,6,6,4,1,1,1,1,1,2,1,22,13,2,2,4,2,3,3,2,2,2,3,3,1,1,2,3,3,3,1,1,3,3,6,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,4,3,4,2,4,4,2,4,3,3,3,3,1,11,2,3,,,,5,4,3,1,3,1000,1,1,1,2,,,,1,1,2,1,2,2,1,39,1964-06-27T00:00:00Z,1,4,4,4,1,2,1,4,9,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,6,5,2,1.44697737693787
151,518,278,8,3,5,7,3,2,2,8,2,9,9,9,9,9,9,7,7,7,3,6,6,6,6,6,6,6,6,6,6,6,6,3,1,6,4,6,6,6,6,6,6,6,6,6,9,2,1,1,1,1,1,22,13,9,1,2,4,4,3,1,4,4,4,4,3,3,3,1,4,4,6,5,5,4,6,6,5,5,6,2,8,2,,1,1,3,1,1,2,1,1,5,1,1,1,1,1,2,2,2,1,1,1,1,1,1,5,2,3,2,2,8,3,4,2,4,2,2,2,,,,2,6,10,5,8,9,1,5,,2,,3,1,4,,,1,1,2,1,2,1,2,26,1977-02-10T00:00:00Z,1,8,4,8,9,1,1,7,9,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,2,0.710766911506653
152,519,278,8,10,13,6,2,3,2,2,2,1,,1,2,,2,1,,1,1,4,4,4,6,4,6,2,6,4,4,6,4,2,4,2,2,6,6,4,4,6,4,4,3,2,6,2,2,2,1,2,1,22,13,4,1,1,3,3,4,3,3,3,3,4,2,4,3,3,6,5,6,6,5,2,1,5,5,6,5,1,2,1,2,1,1,1,2,1,2,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,2,4,2,4,2,4,2,4,2,4,2,,,,5,4,2,4,5,9,1,2,8000,1,2,1,2,,,,1,1,2,1,1,2,2,35,1967-12-21T00:00:00Z,1,5,4,5,9,1,1,2,9,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,3,4,4,2,0.929679155349731
153,520,278,8,3,6,7,3,1,1,8,1,9,9,9,8,8,8,7,7,7,8,6,6,6,6,6,6,6,6,6,3,6,6,3,3,6,3,6,6,3,3,6,6,6,6,3,11,1,1,1,1,1,1,48,25,5,3,3,3,3,3,3,3,4,3,3,3,3,8,3,5,2,3,5,5,2,8,5,5,,5,2,8,8,,8,,2,1,1,8,8,1,5,1,1,1,1,8,1,8,8,1,1,1,1,1,1,5,2,2,3,3,3,2,3,3,4,3,3,1,1,8,10,,,,8,3,7,1,5,,1,3,2,2,,,,1,1,2,1,1,2,1,40,1962-11-17T00:00:00Z,5,11,5,3,1,8,1,2,9,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,8,1,4,2,1.44697737693787
154,522,279,8,1,2,7,2,2,2,9,9,99,99,99,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,1,2,1,1,1,1,49,26,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,1,3,1,1,3,9,2,1,1,1,1,1,9,,9,,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,4,2,4,2,4,2,4,2,9,,,,,,,1,11,5,2,,,,,,,,,,,,2,1,3,2,2,66,1937-06-22T00:00:00Z,1,12,6,6,9,3,1,4,9,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,9,2,3,2,0.855739176273346
155,523,279,8,1,2,6,3,2,2,9,9,9,9,9,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,1,1,1,1,1,1,27,25,5,9,9,9,4,4,3,9,9,9,4,9,4,9,9,,1,4,4,4,2,8,4,,,,8,2,8,,8,,2,1,1,8,1,1,5,1,2,1,1,8,2,8,1,2,1,2,1,1,1,2,3,3,3,2,3,2,2,4,2,3,2,2,,,,3,6,9,3,5,4,3,,,,,,,,,,,,2,1,1,2,2,55,1947-09-22T00:00:00Z,1,10,12,2,9,99,1,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,2,3,2,0.855739176273346
156,524,279,8,10,7,3,2,2,1,2,2,2,,2,1,,1,1,,1,2,4,8,8,6,6,6,6,6,6,4,8,4,3,4,8,2,6,6,4,4,6,8,6,6,4,2,1,1,1,2,2,1,22,13,2,1,4,3,3,2,1,3,1,3,3,4,3,3,2,2,3,5,2,5,3,6,3,,5,6,2,2,1,1,2,,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,5,1,3,2,3,4,2,4,2,2,2,4,1,1,7,9,,,,4,1,9,3,,,,,,,,,,,,2,1,2,2,1,29,1973-10-03T00:00:00Z,3,9,8,1,2,1,1,4,9,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,4,4,2,1.0392017364502
157,525,279,8,6,5,10,1,3,3,1,1,88,88,88,2,,2,5,,5,1,8,4,4,6,4,6,4,6,6,4,4,4,4,2,4,2,6,6,2,4,6,6,6,6,4,1,2,2,2,1,1,1,36,25,1,4,2,2,2,2,2,1,1,2,3,3,3,2,2,5,1,4,1,7,2,6,7,5,3,3,2,2,8,,2,,2,1,1,1,1,1,5,1,1,1,1,2,2,2,2,2,2,2,1,1,1,4,3,3,3,2,2,2,2,3,2,2,2,2,,,,2,1,3,2,4,6,2,,,,,,,,,,,,2,1,2,2,2,68,1935-01-14T00:00:00Z,6,4,4,4,8,3,2,1,9,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,4,2,0.855739176273346
158,166,31,4,9,3,5,3,2,2,1,3,9,9,9,2,,2,3,,3,1,6,4,4,6,6,6,4,6,6,3,3,4,4,3,1,3,3,6,6,6,6,6,6,6,4,1,1,1,1,1,1,1,48,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,6,5,5,2,6,6,,,,3,1,2,,2,,3,1,1,2,1,1,1,1,1,1,1,1,8,1,8,1,1,1,2,2,2,5,2,4,3,3,2,3,3,3,3,3,3,2,,,,6,4,10,3,5,10,1,2,1000,1,2,3,2,,,,1,1,2,1,1,2,2,32,1971-04-21T00:00:00Z,1,12,5,4,9,1,1,5,9,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,7,4,3,1,1.02533006668091
159,167,31,4,14,3,5,1,1,1,1,1,1,,1,2,,2,7,7,7,1,3,4,4,6,6,4,6,4,6,4,5,4,4,3,2,1,3,2,3,3,4,5,4,3,4,1,1,2,2,1,1,1,30,25,1,2,3,3,3,4,2,2,2,2,3,2,3,2,3,5,4,4,4,5,4,6,4,3,5,3,3,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,4,2,5,2,3,2,4,2,3,2,5,2,2,,,,3,1,9,4,11,10,1,3,3000,1,3,3,2,,,,1,1,2,1,2,2,2,28,1975-01-04T00:00:00Z,1,12,5,4,9,1,1,7,9,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,5,5,4,1,1.02533006668091
160,168,31,4,3,4,6,2,1,1,2,2,9,9,9,2,,2,3,,3,8,6,6,6,6,6,6,6,6,6,4,6,3,3,3,6,2,6,6,6,6,6,6,6,6,6,88,1,2,1,1,1,1,22,13,2,1,4,2,2,4,3,3,2,2,2,3,2,2,2,4,5,,,,3,6,,,,,1,2,1,2,1,2,2,8,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,8,8,8,6,1,2,3,2,4,3,3,3,3,3,3,2,,,,8,2,4,4,10,1,1,4,,1,3,2,2,,,,1,1,2,1,2,2,1,40,1963-02-14T00:00:00Z,2,6,4,6,1,4,1,7,9,1,3,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,1,1.03771758079529
161,169,31,4,5,6,7,3,1,1,1,1,7,,7,2,,2,4,,4,3,5,5,5,4,1,6,6,6,6,5,4,4,5,3,1,4,6,6,4,6,4,5,4,6,4,7,2,2,1,1,1,1,30,25,1,3,1,3,2,4,4,2,3,1,3,4,2,2,3,5,5,6,5,6,3,2,7,5,5,4,3,1,1,2,1,2,2,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,2,3,3,4,3,3,3,3,3,3,2,,,,3,4,2,10,5,3,3,,,,,,,,,,,,1,1,2,2,1,56,1946-12-08T00:00:00Z,3,10,5,2,5,1,1,7,9,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,1.05536282062531
162,170,31,4,2,3,9,1,2,1,1,1,5,,5,2,,2,5,,5,1,5,4,5,2,2,1,3,2,4,4,3,4,5,2,1,4,1,6,1,4,2,2,5,4,5,5,3,3,1,1,1,1,39,25,1,2,4,2,3,4,3,3,2,2,3,2,3,2,3,5,6,5,6,6,3,6,6,6,6,2,3,1,1,2,1,2,3,1,1,8,8,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,1,2,5,2,4,3,5,2,3,2,3,2,,,,4,9,2,3,5,4,1,4,,1,3,2,2,,,,1,1,2,1,2,2,1,64,1939-05-09T00:00:00Z,3,6,4,6,8,3,1,6,9,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,5,3,3,1,1.05536282062531
163,486,81,7,7,6,11,3,2,1,1,1,88,88,88,2,,2,7,7,7,3,4,4,4,6,6,6,6,6,6,4,6,3,5,4,6,4,6,6,6,6,6,6,6,6,3,1,1,1,1,1,1,1,22,13,4,2,4,4,4,4,3,2,3,2,4,3,3,3,2,5,1,6,5,7,2,6,4,4,4,4,2,2,1,2,1,2,2,1,2,1,2,1,5,1,2,1,1,2,1,1,1,2,1,2,1,1,1,7,1,3,2,3,4,3,2,3,2,3,1,2,,,,9,3,4,11,3,8,1,2,13000,1,1,2,2,,,,1,1,2,1,2,2,2,40,1963-04-02T00:00:00Z,1,6,4,6,2,2,1,5,9,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,7,7,4,1,0.78246146440506
164,487,81,7,6,13,7,3,2,2,1,1,9,9,9,8,8,8,7,7,7,8,6,6,4,6,6,6,6,6,6,2,6,6,4,4,6,2,6,2,2,6,6,6,6,6,6,9,1,1,1,1,1,1,48,13,5,1,4,3,4,3,2,3,3,3,4,3,3,2,2,4,4,5,4,5,2,6,4,3,3,3,2,2,8,,8,,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2,4,3,2,3,3,3,2,3,1,1,2,10,,,,11,9,3,1,3,500,2,,2,2,,,,1,1,2,1,1,2,2,22,1980-09-26T00:00:00Z,1,8,4,8,9,1,1,3,9,1,5,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,4,9,4,1,1.15786373615265
165,488,81,7,7,11,6,2,1,1,1,1,5,,5,2,,2,5,,5,3,4,4,4,6,6,6,6,6,6,4,4,6,5,2,6,6,6,6,6,6,6,6,6,6,4,5,2,2,1,1,1,2,39,22,1,2,3,4,3,3,3,4,2,2,3,3,3,3,3,5,5,5,5,6,2,2,,,,,2,1,1,2,1,1,2,1,2,2,1,1,5,1,1,1,1,2,2,2,2,2,2,1,1,1,1,6,1,2,3,3,3,3,3,3,4,4,2,1,8,10,11,,,,3,8,6,1,5,,2,,1,2,,,,1,1,2,1,2,1,2,37,1966-02-05T00:00:00Z,1,4,4,4,2,2,1,7,99,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,4,5,5,1,0.78246146440506
166,489,81,7,10,6,1,2,1,3,2,2,9,9,9,1,,1,7,7,7,3,6,6,6,6,6,6,6,6,6,3,6,6,2,4,6,6,6,6,6,6,6,6,6,6,6,9,1,1,3,1,1,1,22,13,2,2,4,2,4,4,4,4,3,4,4,4,4,3,4,5,2,2,2,5,4,6,5,5,4,4,3,2,8,,8,,1,2,1,1,1,1,5,1,1,1,1,1,2,2,2,2,1,1,2,1,2,5,1,3,3,4,4,3,3,3,3,2,2,2,,,,9,3,4,10,9,8,1,5,,2,,3,2,,,,1,1,2,1,2,2,2,21,1982-05-20T00:00:00Z,2,5,4,5,9,1,1,2,9,1,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,6,5,1,1.15786373615265
